Cl.Ord.ID,Instrument,Side,Quantity,Price
aa0,Rose,2,670,315
aa1,Rose,2,120,972
aa2,Rose,2,410,822
aa3,Rose,1,310,381
aa4,Rose,2,140,358
aa5,Rose,2,840,625
aa6,Rose,2,360,594
aa7,Rose,2,160,755
aa8,Rose,2,990,82
aa9,Rose,1,130,726
aa10,Rose,2,420,495
aa11,Rose,2,980,167
aa12,Rose,2,20,239
aa13,Rose,1,970,533
aa14,Rose,1,890,440
aa15,Rose,1,620,220
aa16,Rose,1,400,394
aa17,Rose,2,500,172
aa18,Rose,1,70,708
aa19,Rose,2,570,68
aa20,Rose,1,840,39
aa21,Rose,1,390,440
aa22,Rose,2,280,64
aa23,Rose,1,770,291
aa24,Rose,1,840,287
aa25,Rose,2,860,165
aa26,Rose,1,650,171
aa27,Rose,2,910,812
aa28,Rose,1,390,577
aa29,Rose,2,400,311
aa30,Rose,1,60,759
aa31,Rose,2,450,220
aa32,Rose,1,760,89
aa33,Rose,1,220,257
aa34,Rose,2,870,430
aa35,Rose,2,360,328
aa36,Rose,2,290,519
aa37,Rose,2,400,823
aa38,Rose,1,900,912
aa39,Rose,2,690,480
aa40,Rose,1,700,893
aa41,Rose,2,20,950
aa42,Rose,2,190,916
aa43,Rose,1,510,962
aa44,Rose,1,250,153
aa45,Rose,2,860,483
aa46,Rose,2,310,958
aa47,Rose,1,10,469
aa48,Rose,2,440,656
aa49,Rose,2,50,718
aa50,Rose,2,240,807
aa51,Rose,2,830,499
aa52,Rose,2,570,735
aa53,Rose,1,460,413
aa54,Rose,2,450,120
aa55,Rose,2,830,835
aa56,Rose,2,740,449
aa57,Rose,2,700,438
aa58,Rose,1,960,167
aa59,Rose,2,710,810
aa60,Rose,1,450,654
aa61,Rose,2,170,293
aa62,Rose,1,840,412
aa63,Rose,1,820,967
aa64,Rose,1,280,945
aa65,Rose,2,200,514
aa66,Rose,2,500,494
aa67,Rose,2,630,657
aa68,Rose,1,760,846
aa69,Rose,1,440,87
aa70,Rose,2,90,235
aa71,Rose,1,620,365
aa72,Rose,1,830,852
aa73,Rose,1,220,655
aa74,Rose,1,150,767
aa75,Rose,2,500,822
aa76,Rose,2,120,481
aa77,Rose,1,470,191
aa78,Rose,1,310,419
aa79,Rose,1,780,590
aa80,Rose,1,10,459
aa81,Rose,2,320,601
aa82,Rose,2,460,238
aa83,Rose,1,840,1000
aa84,Rose,1,350,585
aa85,Rose,2,790,839
aa86,Rose,1,800,106
aa87,Rose,1,690,656
aa88,Rose,1,680,546
aa89,Rose,1,210,587
aa90,Rose,2,340,51
aa91,Rose,1,460,315
aa92,Rose,2,350,333
aa93,Rose,1,610,411
aa94,Rose,2,610,822
aa95,Rose,1,730,57
aa96,Rose,1,970,888
aa97,Rose,2,300,399
aa98,Rose,1,230,875
aa99,Rose,1,670,880
aa100,Rose,2,580,544
aa101,Rose,1,780,465
aa102,Rose,1,720,626
aa103,Rose,1,840,842
aa104,Rose,2,670,455
aa105,Rose,2,120,480
aa106,Rose,1,480,712
aa107,Rose,2,640,727
aa108,Rose,2,990,379
aa109,Rose,1,600,607
aa110,Rose,1,500,802
aa111,Rose,2,290,765
aa112,Rose,1,440,957
aa113,Rose,1,430,52
aa114,Rose,2,420,188
aa115,Rose,1,650,994
aa116,Rose,1,910,605
aa117,Rose,1,920,292
aa118,Rose,1,320,892
aa119,Rose,1,130,380
aa120,Rose,2,650,330
aa121,Rose,2,600,298
aa122,Rose,2,860,470
aa123,Rose,1,720,225
aa124,Rose,2,200,16
aa125,Rose,1,420,610
aa126,Rose,1,710,109
aa127,Rose,1,210,116
aa128,Rose,1,60,685
aa129,Rose,1,460,199
aa130,Rose,1,770,203
aa131,Rose,1,160,181
aa132,Rose,1,150,483
aa133,Rose,1,560,999
aa134,Rose,2,940,184
aa135,Rose,2,600,779
aa136,Rose,1,570,192
aa137,Rose,2,670,100
aa138,Rose,1,650,601
aa139,Rose,1,460,21
aa140,Rose,2,990,688
aa141,Rose,2,20,459
aa142,Rose,1,150,625
aa143,Rose,1,760,321
aa144,Rose,1,460,136
aa145,Rose,1,700,846
aa146,Rose,2,840,101
aa147,Rose,1,160,129
aa148,Rose,2,190,961
aa149,Rose,2,870,413
aa150,Rose,2,770,423
aa151,Rose,1,740,824
aa152,Rose,1,350,503
aa153,Rose,2,230,609
aa154,Rose,1,40,304
aa155,Rose,2,90,81
aa156,Rose,2,30,111
aa157,Rose,2,250,679
aa158,Rose,1,580,819
aa159,Rose,2,610,838
aa160,Rose,1,600,357
aa161,Rose,2,950,545
aa162,Rose,1,200,632
aa163,Rose,2,840,28
aa164,Rose,2,780,139
aa165,Rose,1,140,966
aa166,Rose,2,910,523
aa167,Rose,2,750,699
aa168,Rose,1,300,727
aa169,Rose,2,840,382
aa170,Rose,1,440,63
aa171,Rose,1,820,65
aa172,Rose,2,560,804
aa173,Rose,2,790,555
aa174,Rose,1,430,163
aa175,Rose,1,60,35
aa176,Rose,1,480,999
aa177,Rose,2,800,687
aa178,Rose,2,290,827
aa179,Rose,2,480,174
aa180,Rose,1,770,569
aa181,Rose,2,180,256
aa182,Rose,1,410,748
